Language,language family,secondary family,Language code,Stress system type,Rightward primary stress,Consonant duration,duration,pitch,intensity,Primary correlate,Vowel reduction,Length = contrastive,Length: affected by other qualities,Pitch = contrastive,final lapse,final lapse morpheme specific,"Uses contrastive length, duration is a correlate","Uses contrastive pitch, pitch is a correlate","Uses contrastive length, duration is not a correlate","Uses contrastive pItch, pitch is not a correlate","Does not use contrastive length, duration is a correlate","Don't use contrastive pitch, pitch is a correlate","Does not use contrastive length, duration is not a correlate","Does not use contrastive pitch, pitch is not a correlate","TO REMOVE FOR CONSONANT DURATION: Contrastive length, duration correlate","TO REMOVE FOR CONSONANT DURATION: No contrastive length, duration correlate",Blank pitch correlate,Blank pitch contrast
Aleut,Eskimo_Aleut,Aleut,,0,1,,1,0,0,1,1,1,,0,,,TRUE,,,,,,,TRUE,,,,
Arabic (Ammani_Jordanian),Semitic,Central Semitic,,0,1,,1,1,1,,0,2,,0,,,TRUE,,,,,TRUE,,,,,,
Cassubian (North),Indo_European,Slavic,,0,,,1,,,,0,0,,0,,,,,,,TRUE,,,,,,TRUE,
Cree (Northern East),Algonquin,Central,,0,1,,0,1,1,2,1,0,,0,,,,,,,,TRUE,TRUE,,,,,
Czech,Indo_European,Slavic,,1,0,,0,1,0,2,0,1,,0,0,,,,TRUE,,,TRUE,,,,,,
Danish,Indo_European,Germanic,,0,0,,1,1,0,,1,2,,1,,,TRUE,TRUE,,,,,,,,,,
Dutch,Indo_European,Germanic,,1,1,,1,0,1,,0,0,,0,1,,,,,,TRUE,,,TRUE,,,,
Emerillon,Tupian,Tupi_GuaranÍ,,1,1,,1,0,1,,0,0,,0,0,,,,,,TRUE,,,TRUE,,,,
English,Indo_European,Germanic,,1,1,,1,0,1,,1,0,1,0,1,,,,,,TRUE,,,TRUE,,,,
Finnish,Uralic,Finno_Ugric,,1,0,2,1,0,0,1,0,1,,0,1,,TRUE,,,,,,,TRUE,TRUE,,,
German,Indo_European,Germanic,,1,1,,1,0,1,,0,0,1,0,1,,,,,,TRUE,,,TRUE,,,,
"Greek, Modern",Indo_European,Hellenic,,0,1,,1,1,0,,0,0,,0,,,,,,,TRUE,TRUE,,,,,,
Hebrew,Semitic,Central Semitic,,1,1,,1,0,0,1,0,0,,0,0,,,,,,TRUE,,,TRUE,,,,
Hungarian,Uralic,Finno_Ugric,,1,0,,0,1,1,2,1,1,1,0,0,,,,TRUE,,,TRUE,,,,,,
Irish,Indo_European,Celtic,,0,0,,1,0,1,,0,1,,0,,,TRUE,,,,,,,TRUE,,,,
Italian,Indo_European,Italic,,1,1,,1,1,0,,1,0,,0,1,,,,,,TRUE,TRUE,,,,,,
Kabardian,Northwest Caucasian,Circassian,,0,1,,1,1,1,2,0,3,,0,,,,,,,TRUE,TRUE,,,,,,
Kaqchikel,Mayan,Quichean_Mamean,,0,1,,1,0,1,,0,0,,0,,,,,,,TRUE,,,TRUE,,,,
Karitiana,Tupian,Arikem,,1,1,,1,1,1,3,0,1,,0,0,,TRUE,,,,,TRUE,,,,,,
Kurtop,Sino_Tibetan,Tibeto_Kanauri,,0,0,,1,1,0,,0,1,,1,,,TRUE,TRUE,,,,,,,,,,
Leti,Austronesian,Malayo_Polynesian,,1,1,,1,1,0,1,0,2,,0,1,1,TRUE,,,,,TRUE,,,,,,
Maithili,Indo_European,Indo_Iranian,,0,1,,1,0,0,1,0,0,,0,,,,,,,TRUE,,,TRUE,,,,
Masbatenyo,Austronesian,Malayo_Polynesian,,0,1,,1,1,1,1,0,1,,0,,,TRUE,,,,,TRUE,,,,,,
Menominee,Algonquin,Central,,1,0,,1,1,0,,1,1,,0,1,,TRUE,,,,,TRUE,,,,,,
"Nahuatl, Balsas",Uto_Aztecan,Southern Uto_Aztecan,,0,1,,1,0,1,,0,0,,1,,,,,,TRUE,TRUE,,,,,,,
Norwegian,Indo_European,Germanic,,1,1,,1,0,1,,0,1,,1,1,,TRUE,,,TRUE,,,,,,,,
Pirah†,Mura,,,0,2,,1,0,1,,0,1,,1,,,TRUE,,,TRUE,,,,,,,,
Polish,Indo_European,Slavic,,1,1,1,1,1,1,3,0,0,,0,0,,,,,,TRUE,TRUE,,,,TRUE,,
Pomo (Southern),Hokan,Pomoan,,1,1,,0,1,0,2,0,1,,0,0,,,,TRUE,,,TRUE,,,,,,
Q'eqchi' (K'ekchi),Mayan,Quichean_Mamean,,0,1,,0,1,1,,0,1,,0,,,,,TRUE,,,TRUE,,,,,,
Quechua (South Conchucos),Quechuan,,,1,1,,1,1,1,2,0,1,,0,0,,TRUE,,,,,TRUE,,,,,,
Saanish,Salishan,Central Salish,,1,1,,1,1,0,,1,0,,0,1,1,,,,,TRUE,TRUE,,,,,,
Sahaptin (Yakima),Penutian,Plateau Penutian,,0,1,,0,1,1,,0,1,,0,,,,,TRUE,,,TRUE,,,,,,
Spanish (European),Indo_European,Romance,,0,1,,0,1,0,2,0,0,,0,,,,,,,,TRUE,TRUE,,,,,
Tagalog,Austronesian,Malayo_Polynesian,,0,1,,1,1,1,,0,0,1,0,,,,,,,TRUE,TRUE,,,,,,
Tepehua (Huehuetla),Totonacan,Tepiman,,1,1,,1,,,1,0,1,,0,1,1,TRUE,,,,,,,,,,TRUE,
Thai,Tai_Kadai,Tai,,0,1,,1,1,0,1,1,2,,1,,,TRUE,TRUE,,,,,,,,,,
Tongan,Austronesian,Malayo_Polynesian,,1,1,,1,1,1,2,0,1,,0,0,,TRUE,,,,,TRUE,,,,,,
Turkish,Turkic,Common Turkic,,0,1,,0,1,1,2,0,0,,0,,,,,,,,TRUE,TRUE,,,,,
Welsh,Indo_European,Celtic,,0,1,2,1,0,0,1,0,2,,0,,,TRUE,,,,,,,TRUE,TRUE,,,
Witsuwit'en,Den__Yeniseian,Athabaskan,,1,0,,1,1,1,,0,1,,0,1,1,TRUE,,,,,TRUE,,,,,,
Biak,Austronesian,Malayo_Polynesian,,0,1,,1,1,1,,0,1,1,0,,,TRUE,,,,,TRUE,,,,,,
Creek,Muskogean,Eastern Muskogean,,0,1,,0,1,0,2,0,1,,1,,,,TRUE,TRUE,,,,,,,,,
Kashibo_Kakataibo,Panoan,Mainline Panoan,,1,0,,1,0,0,1,1,3,,1,1,,,,,TRUE,TRUE,,,,,,,
