Subject,sentence,type,Reading,Label,seg_Start,seg_End,t_ms,pF0,Avg(Subj-file),diff
10,D,1,2,1,1332.324,2028.536,1330,131.718,111.99,19.728
10,D,1,2,1,1332.324,2028.536,1340,131.027,111.99,19.037
10,D,1,2,1,1332.324,2028.536,1350,130.716,111.99,18.726
10,D,1,2,1,1332.324,2028.536,1360,130.871,111.99,18.881
10,D,1,2,1,1332.324,2028.536,1370,130.702,111.99,18.712
10,D,1,2,1,1332.324,2028.536,1380,130.476,111.99,18.486
10,D,1,2,1,1332.324,2028.536,1390,130.171,111.99,18.181
10,D,1,2,1,1332.324,2028.536,1400,129.115,111.99,17.125
10,D,1,2,1,1332.324,2028.536,1410,126.866,111.99,14.876
10,D,1,2,1,1332.324,2028.536,1420,123.646,111.99,11.656
10,D,1,2,1,1332.324,2028.536,1430,119.194,111.99,7.204
10,D,1,2,1,1332.324,2028.536,1440,115.717,111.99,3.727
10,D,1,2,1,1332.324,2028.536,1450,113.526,111.99,1.536
10,D,1,2,1,1332.324,2028.536,1460,111.978,111.99,-0.012
10,D,1,2,1,1332.324,2028.536,1470,110.489,111.99,-1.501
10,D,1,2,1,1332.324,2028.536,1480,108.391,111.99,-3.599
10,D,1,2,1,1332.324,2028.536,1490,107.053,111.99,-4.937
10,D,1,2,1,1332.324,2028.536,1500,105.324,111.99,-6.666
10,D,1,2,1,1332.324,2028.536,1510,102.797,111.99,-9.193
10,D,1,2,1,1332.324,2028.536,1520,99.167,111.99,-12.823
10,D,1,2,1,1332.324,2028.536,1530,95.741,111.99,-16.249
10,D,1,2,1,1332.324,2028.536,1540,97.134,111.99,-14.856
10,D,1,2,1,1332.324,2028.536,1550,110.487,111.99,-1.503
10,D,1,2,1,1332.324,2028.536,1560,101.948,111.99,-10.042
10,D,1,2,1,1332.324,2028.536,1570,101.51,111.99,-10.48
10,D,1,2,1,1332.324,2028.536,1580,102.567,111.99,-9.423
10,D,1,2,1,1332.324,2028.536,1590,102.803,111.99,-9.187
10,D,1,2,1,1332.324,2028.536,1600,102.056,111.99,-9.934
10,D,1,2,1,1332.324,2028.536,1610,101.889,111.99,-10.101
10,D,1,2,1,1332.324,2028.536,1620,102.09,111.99,-9.9
10,D,1,2,1,1332.324,2028.536,1660,477.72,111.99,365.73
10,D,1,2,1,1332.324,2028.536,1670,477.72,111.99,365.73
10,D,1,2,1,1332.324,2028.536,1680,474.451,111.99,362.461
10,D,1,2,1,1332.324,2028.536,1690,475.423,111.99,363.433
10,D,1,2,1,1332.324,2028.536,1700,476.889,111.99,364.899
10,D,1,2,1,1332.324,2028.536,1710,477.252,111.99,365.262
10,D,1,2,1,1332.324,2028.536,1720,112.901,111.99,0.911
10,D,1,2,1,1332.324,2028.536,1730,112.901,111.99,0.911
10,D,1,2,1,1332.324,2028.536,1740,108.154,111.99,-3.836
10,D,1,2,1,1332.324,2028.536,1750,105.11,111.99,-6.88
10,D,1,2,1,1332.324,2028.536,1760,103.658,111.99,-8.332
10,D,1,2,1,1332.324,2028.536,1770,102.869,111.99,-9.121
10,D,1,2,1,1332.324,2028.536,1780,100.492,111.99,-11.498
10,D,1,2,1,1332.324,2028.536,1790,98.357,111.99,-13.633
10,D,1,2,1,1332.324,2028.536,1880,161.593,111.99,49.603
10,D,1,2,1,1332.324,2028.536,1890,161.593,111.99,49.603
10,D,1,2,1,1332.324,2028.536,1900,123.152,111.99,11.162
10,D,1,2,1,1332.324,2028.536,1910,123.417,111.99,11.427
10,D,1,2,1,1332.324,2028.536,1920,126.356,111.99,14.366
10,D,1,2,1,1332.324,2028.536,1930,125.004,111.99,13.014
10,D,1,2,1,1332.324,2028.536,1940,126.135,111.99,14.145
10,D,1,2,1,1332.324,2028.536,1950,131.1,111.99,19.11
10,D,1,2,1,1332.324,2028.536,1960,134.613,111.99,22.623
10,D,1,2,1,1332.324,2028.536,1970,135.122,111.99,23.132
10,D,1,2,1,1332.324,2028.536,1980,134.42,111.99,22.43
10,D,1,2,1,1332.324,2028.536,1990,133.257,111.99,21.267
10,D,1,2,1,1332.324,2028.536,2000,136.604,111.99,24.614
10,D,1,2,1,1332.324,2028.536,2010,151.661,111.99,39.671
10,D,1,2,1,1332.324,2028.536,2020,151.661,111.99,39.671
10,D,1,2,1,1332.324,2028.536,2030,148.96,111.99,36.97
10,D,2,1,1,708.446,1438.426,710,142.441,116.474,25.967
10,D,2,1,1,708.446,1438.426,720,143.969,116.474,27.495
10,D,2,1,1,708.446,1438.426,730,144.36,116.474,27.886
10,D,2,1,1,708.446,1438.426,740,142.101,116.474,25.627
10,D,2,1,1,708.446,1438.426,750,138.68,116.474,22.206
10,D,2,1,1,708.446,1438.426,760,135.861,116.474,19.387
10,D,2,1,1,708.446,1438.426,770,133.535,116.474,17.061
10,D,2,1,1,708.446,1438.426,780,131.251,116.474,14.777
10,D,2,1,1,708.446,1438.426,790,129.483,116.474,13.009
10,D,2,1,1,708.446,1438.426,800,129.359,116.474,12.885
10,D,2,1,1,708.446,1438.426,810,129.942,116.474,13.468
10,D,2,1,1,708.446,1438.426,820,129.72,116.474,13.246
10,D,2,1,1,708.446,1438.426,830,128.425,116.474,11.951
10,D,2,1,1,708.446,1438.426,840,126.727,116.474,10.253
10,D,2,1,1,708.446,1438.426,850,124.361,116.474,7.887
10,D,2,1,1,708.446,1438.426,860,122.193,116.474,5.719
10,D,2,1,1,708.446,1438.426,870,120.247,116.474,3.773
10,D,2,1,1,708.446,1438.426,880,118.124,116.474,1.65
10,D,2,1,1,708.446,1438.426,890,116.313,116.474,-0.161
10,D,2,1,1,708.446,1438.426,900,114.844,116.474,-1.63
10,D,2,1,1,708.446,1438.426,910,114.692,116.474,-1.782
10,D,2,1,1,708.446,1438.426,920,115.397,116.474,-1.077
10,D,2,1,1,708.446,1438.426,930,115.976,116.474,-0.498
10,D,2,1,1,708.446,1438.426,940,116.231,116.474,-0.243
10,D,2,1,1,708.446,1438.426,950,115.936,116.474,-0.538
10,D,2,1,1,708.446,1438.426,960,114.851,116.474,-1.623
10,D,2,1,1,708.446,1438.426,970,112.834,116.474,-3.64
10,D,2,1,1,708.446,1438.426,980,110.528,116.474,-5.946
10,D,2,1,1,708.446,1438.426,990,121.941,116.474,5.467
10,D,2,1,1,708.446,1438.426,1000,121.083,116.474,4.609
10,D,2,1,1,708.446,1438.426,1010,121.639,116.474,5.165
10,D,2,1,1,708.446,1438.426,1020,121.889,116.474,5.415
10,D,2,1,1,708.446,1438.426,1030,122.005,116.474,5.531
10,D,2,1,1,708.446,1438.426,1040,121.168,116.474,4.694
10,D,2,1,1,708.446,1438.426,1050,120.225,116.474,3.751
10,D,2,1,1,708.446,1438.426,1060,119.619,116.474,3.145
10,D,2,1,1,708.446,1438.426,1070,116.696,116.474,0.222
10,D,2,1,1,708.446,1438.426,1170,141.455,116.474,24.981
10,D,2,1,1,708.446,1438.426,1180,141.455,116.474,24.981
10,D,2,1,1,708.446,1438.426,1190,120.962,116.474,4.488
10,D,2,1,1,708.446,1438.426,1200,117.378,116.474,0.904
10,D,2,1,1,708.446,1438.426,1210,115.54,116.474,-0.934
10,D,2,1,1,708.446,1438.426,1220,113.435,116.474,-3.039
10,D,2,1,1,708.446,1438.426,1230,112.533,116.474,-3.941
10,D,2,1,1,708.446,1438.426,1240,112.834,116.474,-3.64
10,D,2,1,1,708.446,1438.426,1250,111.379,116.474,-5.095
10,D,2,1,1,708.446,1438.426,1260,109.04,116.474,-7.434
10,D,2,1,1,708.446,1438.426,1270,105.474,116.474,-11
10,D,2,1,1,708.446,1438.426,1300,447.695,116.474,331.221
10,D,2,1,1,708.446,1438.426,1310,447.695,116.474,331.221
10,D,2,1,1,708.446,1438.426,1320,451.479,116.474,335.005
10,D,2,1,1,708.446,1438.426,1370,143.971,116.474,27.497
10,D,2,1,1,708.446,1438.426,1380,143.971,116.474,27.497
10,D,2,1,1,708.446,1438.426,1390,139.184,116.474,22.71
10,D,2,1,1,708.446,1438.426,1400,139.193,116.474,22.719
10,D,2,1,1,708.446,1438.426,1410,138.861,116.474,22.387
10,D,2,1,1,708.446,1438.426,1420,138.763,116.474,22.289
10,D,2,1,1,708.446,1438.426,1430,137.399,116.474,20.925
10,D,2,1,1,708.446,1438.426,1440,136.383,116.474,19.909
10,D,3,1,1,1166.036,2214.814,1170,139.331,116.474,22.857
10,D,3,1,1,1166.036,2214.814,1180,141.711,116.474,25.237
10,D,3,1,1,1166.036,2214.814,1190,140.784,116.474,24.31
10,D,3,1,1,1166.036,2214.814,1200,139.667,116.474,23.193
10,D,3,1,1,1166.036,2214.814,1210,138.688,116.474,22.214
10,D,3,1,1,1166.036,2214.814,1220,137.818,116.474,21.344
10,D,3,1,1,1166.036,2214.814,1230,136.262,116.474,19.788
10,D,3,1,1,1166.036,2214.814,1240,134.671,116.474,18.197
10,D,3,1,1,1166.036,2214.814,1250,133.519,116.474,17.045
10,D,3,1,1,1166.036,2214.814,1260,133.841,116.474,17.367
10,D,3,1,1,1166.036,2214.814,1270,134.421,116.474,17.947
10,D,3,1,1,1166.036,2214.814,1280,134.541,116.474,18.067
10,D,3,1,1,1166.036,2214.814,1290,134.38,116.474,17.906
10,D,3,1,1,1166.036,2214.814,1300,134.005,116.474,17.531
10,D,3,1,1,1166.036,2214.814,1310,133.356,116.474,16.882
10,D,3,1,1,1166.036,2214.814,1320,132.532,116.474,16.058
10,D,3,1,1,1166.036,2214.814,1330,131,116.474,14.526
10,D,3,1,1,1166.036,2214.814,1340,128.291,116.474,11.817
10,D,3,1,1,1166.036,2214.814,1350,125.621,116.474,9.147
10,D,3,1,1,1166.036,2214.814,1360,122.945,116.474,6.471
10,D,3,1,1,1166.036,2214.814,1370,120.297,116.474,3.823
10,D,3,1,1,1166.036,2214.814,1380,118.088,116.474,1.614
10,D,3,1,1,1166.036,2214.814,1390,116.666,116.474,0.192
10,D,3,1,1,1166.036,2214.814,1400,115.601,116.474,-0.873
10,D,3,1,1,1166.036,2214.814,1410,114.888,116.474,-1.586
10,D,3,1,1,1166.036,2214.814,1420,113.798,116.474,-2.676
10,D,3,1,1,1166.036,2214.814,1430,111.463,116.474,-5.011
10,D,3,1,1,1166.036,2214.814,1440,108.35,116.474,-8.124
10,D,3,1,1,1166.036,2214.814,1450,108.557,116.474,-7.917
10,D,3,1,1,1166.036,2214.814,1460,124.148,116.474,7.674
10,D,3,1,1,1166.036,2214.814,1470,122.76,116.474,6.286
10,D,3,1,1,1166.036,2214.814,1480,122.332,116.474,5.858
10,D,3,1,1,1166.036,2214.814,1490,121.473,116.474,4.999
10,D,3,1,1,1166.036,2214.814,1500,120.119,116.474,3.645
10,D,3,1,1,1166.036,2214.814,1510,116.869,116.474,0.395
10,D,3,1,1,1166.036,2214.814,1520,116.63,116.474,0.156
10,D,3,1,1,1166.036,2214.814,1630,127.488,116.474,11.014
10,D,3,1,1,1166.036,2214.814,1640,127.488,116.474,11.014
10,D,3,1,1,1166.036,2214.814,1650,126.361,116.474,9.887
10,D,3,1,1,1166.036,2214.814,1660,124.437,116.474,7.963
10,D,3,1,1,1166.036,2214.814,1670,121.786,116.474,5.312
10,D,3,1,1,1166.036,2214.814,1680,118.287,116.474,1.813
10,D,3,1,1,1166.036,2214.814,1690,116.931,116.474,0.457
10,D,3,1,1,1166.036,2214.814,1700,117.368,116.474,0.894
10,D,3,1,1,1166.036,2214.814,1710,118.274,116.474,1.8
10,D,3,1,1,1166.036,2214.814,1720,116.95,116.474,0.476
10,D,3,1,1,1166.036,2214.814,1730,114.303,116.474,-2.171
