Subject,sentence,type,Reading,Label,seg_Start,seg_End,t_ms,pF0,Avg(Subj-file),diff
10,D,1,1,1,1219.887,1933.116,1220,265.326,227.32,38.006
10,D,1,1,1,1219.887,1933.116,1221,265.429,227.32,38.109
10,D,1,1,1,1219.887,1933.116,1222,265.455,227.32,38.135
10,D,1,1,1,1219.887,1933.116,1223,265.555,227.32,38.235
10,D,1,1,1,1219.887,1933.116,1224,265.871,227.32,38.551
10,D,1,1,1,1219.887,1933.116,1225,265.98,227.32,38.66
10,D,1,1,1,1219.887,1933.116,1226,266.117,227.32,38.797
10,D,1,1,1,1219.887,1933.116,1227,265.849,227.32,38.529
10,D,1,1,1,1219.887,1933.116,1228,265.351,227.32,38.031
10,D,1,1,1,1219.887,1933.116,1229,265.064,227.32,37.744
10,D,1,1,1,1219.887,1933.116,1230,264.28,227.32,36.96
10,D,1,1,1,1219.887,1933.116,1231,264.28,227.32,36.96
10,D,1,1,1,1219.887,1933.116,1232,264.204,227.32,36.884
10,D,1,1,1,1219.887,1933.116,1233,264.509,227.32,37.189
10,D,1,1,1,1219.887,1933.116,1234,264.875,227.32,37.555
10,D,1,1,1,1219.887,1933.116,1235,264.265,227.32,36.945
10,D,1,1,1,1219.887,1933.116,1236,264.018,227.32,36.698
10,D,1,1,1,1219.887,1933.116,1237,263.837,227.32,36.517
10,D,1,1,1,1219.887,1933.116,1238,263.614,227.32,36.294
10,D,1,1,1,1219.887,1933.116,1239,263.735,227.32,36.415
10,D,1,1,1,1219.887,1933.116,1240,263.762,227.32,36.442
10,D,1,1,1,1219.887,1933.116,1241,263.897,227.32,36.577
10,D,1,1,1,1219.887,1933.116,1242,264.001,227.32,36.681
10,D,1,1,1,1219.887,1933.116,1243,263.398,227.32,36.078
10,D,1,1,1,1219.887,1933.116,1244,263.185,227.32,35.865
10,D,1,1,1,1219.887,1933.116,1245,262.777,227.32,35.457
10,D,1,1,1,1219.887,1933.116,1246,262.01,227.32,34.69
10,D,1,1,1,1219.887,1933.116,1247,261.016,227.32,33.696
10,D,1,1,1,1219.887,1933.116,1248,260.626,227.32,33.306
10,D,1,1,1,1219.887,1933.116,1249,259.892,227.32,32.572
10,D,1,1,1,1219.887,1933.116,1250,259.473,227.32,32.153
10,D,1,1,1,1219.887,1933.116,1251,259.19,227.32,31.87
10,D,1,1,1,1219.887,1933.116,1252,259.218,227.32,31.898
10,D,1,1,1,1219.887,1933.116,1253,259.106,227.32,31.786
10,D,1,1,1,1219.887,1933.116,1254,258.558,227.32,31.238
10,D,1,1,1,1219.887,1933.116,1255,257.591,227.32,30.271
10,D,1,1,1,1219.887,1933.116,1256,256.774,227.32,29.454
10,D,1,1,1,1219.887,1933.116,1257,256.219,227.32,28.899
10,D,1,1,1,1219.887,1933.116,1258,255.611,227.32,28.291
10,D,1,1,1,1219.887,1933.116,1259,255.067,227.32,27.747
10,D,1,1,1,1219.887,1933.116,1260,254.76,227.32,27.44
10,D,1,1,1,1219.887,1933.116,1261,254.729,227.32,27.409
10,D,1,1,1,1219.887,1933.116,1262,254.014,227.32,26.694
10,D,1,1,1,1219.887,1933.116,1263,252.296,227.32,24.976
10,D,1,1,1,1219.887,1933.116,1264,251.243,227.32,23.923
10,D,1,1,1,1219.887,1933.116,1265,250.786,227.32,23.466
10,D,1,1,1,1219.887,1933.116,1266,250.955,227.32,23.635
10,D,1,1,1,1219.887,1933.116,1267,251.662,227.32,24.342
10,D,1,1,1,1219.887,1933.116,1268,251.374,227.32,24.054
10,D,1,1,1,1219.887,1933.116,1269,251.315,227.32,23.995
10,D,1,1,1,1219.887,1933.116,1270,251.055,227.32,23.735
10,D,1,1,1,1219.887,1933.116,1271,250.572,227.32,23.252
10,D,1,1,1,1219.887,1933.116,1272,250.288,227.32,22.968
10,D,1,1,1,1219.887,1933.116,1273,250.255,227.32,22.935
10,D,1,1,1,1219.887,1933.116,1274,250.268,227.32,22.948
10,D,1,1,1,1219.887,1933.116,1275,250.164,227.32,22.844
10,D,1,1,1,1219.887,1933.116,1276,249.619,227.32,22.299
10,D,1,1,1,1219.887,1933.116,1277,249.505,227.32,22.185
10,D,1,1,1,1219.887,1933.116,1278,249.356,227.32,22.036
10,D,1,1,1,1219.887,1933.116,1279,249.046,227.32,21.726
10,D,1,1,1,1219.887,1933.116,1280,248.882,227.32,21.562
10,D,1,1,1,1219.887,1933.116,1281,248.896,227.32,21.576
10,D,1,1,1,1219.887,1933.116,1282,248.907,227.32,21.587
10,D,1,1,1,1219.887,1933.116,1283,248.936,227.32,21.616
10,D,1,1,1,1219.887,1933.116,1284,248.657,227.32,21.337
10,D,1,1,1,1219.887,1933.116,1285,248.708,227.32,21.388
10,D,1,1,1,1219.887,1933.116,1286,248.644,227.32,21.324
10,D,1,1,1,1219.887,1933.116,1287,248.953,227.32,21.633
10,D,1,1,1,1219.887,1933.116,1288,250.541,227.32,23.221
10,D,1,1,1,1219.887,1933.116,1289,250.882,227.32,23.562
10,D,1,1,1,1219.887,1933.116,1290,251.062,227.32,23.742
10,D,1,1,1,1219.887,1933.116,1291,250.1,227.32,22.78
10,D,1,1,1,1219.887,1933.116,1292,248.387,227.32,21.067
10,D,1,1,1,1219.887,1933.116,1293,248.231,227.32,20.911
10,D,1,1,1,1219.887,1933.116,1294,248.224,227.32,20.904
10,D,1,1,1,1219.887,1933.116,1295,248.248,227.32,20.928
10,D,1,1,1,1219.887,1933.116,1296,249.09,227.32,21.77
10,D,1,1,1,1219.887,1933.116,1297,249.15,227.32,21.83
10,D,1,1,1,1219.887,1933.116,1298,249.165,227.32,21.845
10,D,1,1,1,1219.887,1933.116,1299,248.65,227.32,21.33
10,D,1,1,1,1219.887,1933.116,1300,247.941,227.32,20.621
10,D,1,1,1,1219.887,1933.116,1301,247.748,227.32,20.428
10,D,1,1,1,1219.887,1933.116,1302,247.723,227.32,20.403
10,D,1,1,1,1219.887,1933.116,1303,247.608,227.32,20.288
10,D,1,1,1,1219.887,1933.116,1304,248.067,227.32,20.747
10,D,1,1,1,1219.887,1933.116,1305,248.031,227.32,20.711
10,D,1,1,1,1219.887,1933.116,1306,248.078,227.32,20.758
10,D,1,1,1,1219.887,1933.116,1307,247.945,227.32,20.625
10,D,1,1,1,1219.887,1933.116,1308,247.353,227.32,20.033
10,D,1,1,1,1219.887,1933.116,1309,247.107,227.32,19.787
10,D,1,1,1,1219.887,1933.116,1310,247.128,227.32,19.808
10,D,1,1,1,1219.887,1933.116,1311,247.38,227.32,20.06
10,D,1,1,1,1219.887,1933.116,1312,247.709,227.32,20.389
10,D,1,1,1,1219.887,1933.116,1313,247.742,227.32,20.422
