Subject,Sentence,Type,Reading,Final
10,D,1,1,262.43
10,D,1,2,309.15
10,D,2,2,274.452
10,D,3,1,213.108
10,D,3,2,216.648
10,E,1,1,340.634
10,E,1,2,216.308
10,E,2,1,254.717
10,E,2,2,215.968
10,E,3,1,182.345
10,E,3,2,199.338
10,F,1,1,318.813
10,F,1,2,307.388
10,F,3,1,203.366
10,F,3,2,140.708
11,D,1,1,195.431
11,D,1,2,239.194
11,D,3,1,251.404
11,D,3,2,161.514
11,E,1,1,231.039
11,E,1,2,191.067
11,E,2,1,150.692
11,E,2,2,139.921
11,E,3,1,70.962
11,E,3,2,141.213
11,F,1,1,243.621
11,F,1,2,253.286
11,F,3,1,149.405
11,F,3,2,132.458
12,D,1,1,247.618
12,D,1,2,487.12
12,D,2,1,202.249
12,D,3,1,195.648
12,D,3,2,191.107
12,E,1,1,280.676
12,E,1,2,228.659
12,E,2,1,246.141
12,E,2,2,153.45
12,E,3,1,187.379
12,E,3,2,231.629
12,F,1,1,276.087
12,F,1,2,236.599
12,F,3,1,180.117
12,F,3,2,185.317
13,D,1,1,206.109
13,D,1,2,170.656
13,D,2,1,121.993
13,D,3,1,117.518
13,E,1,1,190.458
13,E,1,2,185.809
13,E,2,1,141.029
13,E,3,1,64.123
13,F,1,1,194.234
13,F,1,2,206.31
13,F,3,1,117.956
13,F,3,2,123.776
14,D,1,1,216.464
14,D,1,2,201.277
14,D,3,1,206.275
14,D,3,2,222.204
14,E,1,1,216.729
14,E,1,2,192.409
14,E,2,1,251.708
14,E,3,2,167.891
14,F,1,1,196.077
14,F,1,2,206.415
14,F,3,1,226.638
14,F,3,2,216.274
15,D,1,1,270.479
15,D,1,2,287.199
15,D,2,1,332.516
15,D,2,2,247.365
15,D,3,1,335.7
15,D,3,2,308.102
15,E,1,1,235.423
15,E,1,2,243.967
15,E,2,1,209.291
15,E,3,1,205.032
15,E,3,2,205.252
15,F,1,1,306.772
15,F,1,2,388.498
15,F,3,1,304.218
15,F,3,2,278.37
16,D,1,1,208.068
16,D,1,2,198.726
16,D,2,1,203.583
16,D,2,2,135.521
16,D,3,1,169.151
16,D,3,2,175.982
16,E,1,1,213.805
16,E,1,2,214.05
16,E,2,1,152.732
16,E,2,2,73.053
16,E,3,1,196.527
16,E,3,2,170.855
16,F,1,1,176.861
16,F,1,2,193.184
16,F,3,2,194.087
17,D,1,1,202.43
17,D,1,2,190.43
17,D,2,1,178.917
17,D,2,2,221.502
17,D,3,1,190.458
17,D,3,2,179.971
17,E,1,1,205.931
17,E,1,2,209.91
17,E,2,1,210.937
17,E,2,2,211.454
17,E,3,1,175.837
17,E,3,2,184.758
17,F,1,1,194.807
17,F,1,2,200.283
17,F,3,2,185.363
18,D,1,1,190.171
18,D,1,2,178.604
18,D,3,1,198.244
18,D,3,2,198.856
18,E,1,2,231.122
18,E,2,1,244.851
18,E,2,2,249.169
18,E,3,2,179.589
18,F,1,1,238.647
18,F,1,2,235.721
18,F,3,2,153.799
19,D,1,1,175.579
19,D,1,2,192.712
19,D,2,1,171.591
19,D,2,2,161.305
19,D,3,1,158.296
19,D,3,2,185.736
19,E,1,1,208.259
19,E,1,2,215.902
19,E,2,1,203.875
19,E,2,2,205.639
19,E,3,1,156.161
19,F,1,1,253.174
19,F,1,2,218.37
19,F,3,1,155.185
19,F,3,2,151.223
20,D,1,1,157.509
20,D,1,2,160.183
20,D,2,1,123.568
20,D,2,2,127.445
20,D,3,1,134.294
20,D,3,2,124.199
20,E,1,1,173.554
20,E,1,2,186.828
20,E,3,1,146.997
20,E,3,2,122.536
20,F,1,1,170.97
20,F,1,2,140.354
20,F,3,1,131.216
20,F,3,2,113.116
21,D,1,1,250.394
21,D,1,2,285.576
21,D,2,1,333.875
21,D,2,2,283.455
21,D,3,1,206.159
21,D,3,2,225.354
21,E,1,1,227.699
21,E,1,2,266.307
21,E,2,1,292.245
21,E,2,2,263.653
21,E,3,1,227.286
21,E,3,2,203.545
21,F,1,1,347.833
21,F,1,2,304.346
21,F,3,1,225.557
21,F,3,2,217.374
22,D,1,1,111.884
22,D,1,2,105.984
22,D,2,1,93.354
22,D,2,2,94.856
22,D,3,1,79.201
22,D,3,2,83.438
22,E,1,1,103.096
22,E,1,2,92.558
22,E,2,1,94.517
22,E,2,2,103.364
22,E,3,1,87.197
22,E,3,2,94.73
22,F,1,1,116.934
22,F,1,2,105.907
22,F,3,1,94.071
22,F,3,2,89.205
23,D,1,1,252.972
23,D,1,2,236.918
23,D,2,1,250.016
23,D,2,2,269.539
23,D,3,1,232.526
23,D,3,2,227.96
23,E,1,1,222.808
23,E,1,2,206.453
23,E,2,1,195.553
23,E,2,2,235.871
23,E,3,1,225.735
23,F,1,1,290.399
23,F,1,2,256.888
23,F,3,1,225.406
23,F,3,2,188.838
24,D,1,1,151.128
24,D,1,2,133.866
24,D,2,1,211.967
24,D,2,2,209.623
24,D,3,1,164.893
24,D,3,2,157.458
24,E,1,1,136.776
24,E,1,2,195.981
24,E,2,1,170.897
24,E,2,2,176.188
24,E,3,1,89.124
24,E,3,2,88.246
24,F,1,1,219.965
24,F,1,2,211.259
24,F,3,1,91.272
24,F,3,2,98.332
25,D,1,1,250.834
25,D,1,2,258.4
25,D,2,1,184.471
25,D,2,2,249.142
25,D,3,1,207.332
25,D,3,2,266.773
25,E,1,1,283.56
25,E,1,2,213.695
25,E,2,1,286.257
25,E,2,2,271.843
25,E,3,1,226.903
25,E,3,2,194.343
25,F,1,1,247.115
25,F,1,2,235.807
25,F,3,1,204.445
25,F,3,2,196.038
26,D,1,1,307.37
26,D,1,2,326.583
26,D,2,1,268.562
26,D,2,2,351.513
26,D,3,1,213.503
26,D,3,2,207.314
26,E,1,1,303.183
26,E,1,2,324.389
26,E,2,1,337.863
26,E,2,2,316.772
26,E,3,1,71.473
26,E,3,2,184.055
26,F,1,1,353.187
26,F,1,2,327.894
26,F,3,1,239.696
26,F,3,2,210.949
27,D,1,1,250.771
27,D,1,2,218.669
27,D,2,1,288.407
27,D,2,2,211.806
27,D,3,1,152.158
27,D,3,2,134.241
27,E,1,1,102.922
27,E,1,2,212.061
27,E,2,1,139.335
27,E,2,2,131.254
27,E,3,1,108.037
27,E,3,2,103.967
27,F,1,1,183.556
27,F,1,2,187.312
27,F,3,1,139.957
27,F,3,2,152.201
28,D,1,1,296.299
28,D,1,2,205.425
28,D,2,1,243.384
28,D,2,2,258.826
28,D,3,2,215.733
28,E,1,1,257.139
28,E,1,2,255.542
28,E,2,1,191.773
28,E,2,2,200.966
28,F,1,1,301.389
28,F,1,2,284.057
28,F,3,1,209.174
28,F,3,2,184.603
29,D,1,1,309.034
29,D,1,2,303.559
29,D,2,1,287.149
29,D,3,2,254.962
29,E,1,1,270.917
29,E,1,2,310.807
29,E,2,1,318.536
29,E,2,2,302.318
29,F,1,1,260.997
