Subject,Sentence,Type,Reading,Blank,NonBlank,NumAboveAverage,PercentAboveAverage
10,D,1,1,0,659,229,0.34749620637329287
10,D,1,2,0,606,201,0.3316831683168317
10,D,2,2,0,641,409,0.6380655226209049
10,D,3,1,0,702,257,0.3660968660968661
10,D,3,2,0,538,219,0.4070631970260223
10,E,1,1,0,739,334,0.4519621109607578
10,E,1,2,0,522,166,0.31800766283524906
10,E,2,1,0,677,169,0.24963072378138848
10,E,2,2,0,512,132,0.2578125
10,E,3,1,0,27,0,0.0
10,E,3,2,0,424,43,0.10141509433962265
10,F,1,1,0,477,218,0.4570230607966457
10,F,1,2,0,353,165,0.46742209631728043
10,F,3,1,0,259,0,0.0
10,F,3,2,0,329,0,0.0
11,D,1,1,0,77,38,0.4935064935064935
11,D,1,2,0,81,36,0.4444444444444444
11,D,3,1,0,70,68,0.9714285714285714
11,D,3,2,0,56,9,0.16071428571428573
11,E,1,1,0,45,33,0.7333333333333333
11,E,1,2,0,65,41,0.6307692307692307
11,E,2,1,0,52,15,0.28846153846153844
11,E,2,2,0,49,9,0.1836734693877551
11,E,3,1,0,31,0,0.0
11,E,3,2,0,11,0,0.0
11,F,1,1,0,29,13,0.4482758620689655
11,F,1,2,0,36,17,0.4722222222222222
11,F,3,1,0,22,5,0.22727272727272727
11,F,3,2,0,25,2,0.08
12,D,1,1,0,69,23,0.3333333333333333
12,D,1,2,0,70,33,0.4714285714285714
12,D,2,1,0,70,23,0.32857142857142857
12,D,3,1,0,79,41,0.5189873417721519
12,D,3,2,0,50,36,0.72
12,E,1,1,0,65,37,0.5692307692307692
12,E,1,2,0,53,28,0.5283018867924528
12,E,2,1,0,55,44,0.8
12,E,2,2,0,58,29,0.5
12,E,3,1,0,73,6,0.0821917808219178
12,E,3,2,0,86,47,0.5465116279069767
12,F,1,1,0,46,29,0.6304347826086957
12,F,1,2,0,42,33,0.7857142857142857
12,F,3,1,0,36,2,0.05555555555555555
12,F,3,2,0,31,12,0.3870967741935484
13,D,1,1,0,69,27,0.391304347826087
13,D,1,2,0,61,20,0.32786885245901637
13,D,2,1,0,88,8,0.09090909090909091
13,D,3,1,0,79,0,0.0
13,E,1,1,0,85,21,0.24705882352941178
13,E,1,2,0,93,48,0.5161290322580645
13,E,2,1,0,72,10,0.1388888888888889
13,E,3,1,0,63,6,0.09523809523809523
